Entry	Gene Names (primary)	Gene Names (ordered locus)	Pathway	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	STRING	eggNOG	OrthoDB	UniPathway	CDD	PROSITE	SMART	Pfam	InterPro	Gene Names
A0A510N6B4	fib			methylation [GO:0032259]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]		methyltransferase activity [GO:0008168]; RNA binding [GO:0003723]						PS00566;	SM01206;	PF01269;	IPR000692;IPR020813;IPR029063;	fib flpA nop1 VNG_1176G
A0A510N6D0	rps13			translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00646;PS50159;		PF00416;	IPR027437;IPR001892;IPR010979;IPR019977;IPR018269;	rps13 VNG_1132G
A0A510N6D9	hutH		PATHWAY: Amino-acid degradation; L-histidine degradation into L-glutamate; N-formimidoyl-L-glutamate from L-histidine: step 1/3. {ECO:0000256|ARBA:ARBA00005113, ECO:0000256|HAMAP-Rule:MF_00229, ECO:0000256|RuleBase:RU004479}.	histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]	cytoplasm [GO:0005737]	histidine ammonia-lyase activity [GO:0004397]				UPA00379;	cd00332;	PS00488;		PF00221;	IPR001106;IPR024083;IPR005921;IPR008948;IPR022313;	hutH VNG_1212G
A0A510N6E0	rps2			translation [GO:0006412]	small ribosomal subunit [GO:0015935]	structural constituent of ribosome [GO:0003735]					cd01425;	PS00962;PS00963;		PF00318;	IPR001865;IPR023454;IPR018130;IPR005707;IPR023591;	rps2 VNG_1143G
A0A510N6E7	orc8			DNA replication [GO:0006260]		ATP binding [GO:0005524]					cd08768;		SM00382;SM01074;	PF13191;PF09079;	IPR003593;IPR041664;IPR015163;IPR014277;IPR027417;IPR036388;IPR036390;	orc8 cdc6-2 VNG_1224G
A0A510N6F2	rpl1			regulation of translation [GO:0006417]; translation [GO:0006412]	large ribosomal subunit [GO:0015934]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]					cd00403;	PS01199;		PF00687;	IPR002143;IPR023674;IPR028364;IPR016095;IPR023669;IPR023673;	rpl1 VNG_1105G
A0A510N6F4	rpl8e			translation [GO:0006412]; tRNA 5'-leader removal [GO:0001682]	cytoplasm [GO:0005737]; ribosome [GO:0005840]	ribonuclease P activity [GO:0004526]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]								PF01248;	IPR029064;IPR004038;IPR018492;IPR022481;IPR000948;	rpl8e rpl7ae VNG_1157G
A0A510N6G5	rpl21e			translation [GO:0006412]	cytosol [GO:0005829]; ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]						PS01171;		PF01157;	IPR036948;IPR001147;IPR022856;IPR018259;IPR008991;	rpl21e VNG_1170G
A0A510N6G8	sod1					metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]						PS00088;		PF02777;PF00081;	IPR001189;IPR019833;IPR019832;IPR019831;IPR036324;IPR036314;	sod1 VNG_1190G
A0A510N6H1	rpoD			transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]						PS00446;	SM00662;	PF01000;PF01193;	IPR001514;IPR011262;IPR011263;IPR036603;IPR022842;IPR036643;	rpoD rpo3 VNG_1136G
A0A510N6H5	msrA			cellular protein modification process [GO:0006464]		L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]; peptide-methionine (S)-S-oxide reductase activity [GO:0008113]								PF01625;	IPR002569;IPR036509;	msrA VNG_1180G
A0A510N6H8	gdhA2			cellular amino acid metabolic process [GO:0006520]		nucleotide binding [GO:0000166]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]					cd01076;	PS00074;	SM00839;	PF00208;PF02812;	IPR046346;IPR006095;IPR033524;IPR006096;IPR006097;IPR014362;IPR036291;IPR033922;	gdhA2 VNG_1204G
A0A510N6H9	tif2b					translation initiation factor activity [GO:0003743]							SM00653;	PF01873;	IPR045196;IPR004458;IPR002735;IPR016189;IPR016190;	tif2b aif2b eif2b VNG_1262G
A0A510N6I2	moaC		PATHWAY: Cofactor biosynthesis; molybdopterin biosynthesis. {ECO:0000256|ARBA:ARBA00005046, ECO:0000256|HAMAP-Rule:MF_01224}.	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]		cyclic pyranopterin monophosphate synthase activity [GO:0061799]				UPA00344;	cd01419;			PF01967;	IPR023045;IPR023047;IPR036522;IPR002820;	moaC VNG_1273G
A0A510N6J4	rnp2			tRNA 5'-leader removal [GO:0001682]	cytoplasm [GO:0005737]; ribonuclease P complex [GO:0030677]	ribonuclease P activity [GO:0004526]								PF01900;	IPR002759;IPR038085;	rnp2 VNG_1279H
A0A510N6J8	tef1b				cellular anatomical entity [GO:0110165]	translation elongation factor activity [GO:0003746]					cd00292;		SM00888;	PF00736;	IPR036219;IPR014038;IPR014717;IPR004542;	tef1b aef1b ef1b VNG_1173G
A0A510N6K7	surE				cytoplasm [GO:0005737]	5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]								PF01975;	IPR030048;IPR002828;IPR036523;	surE VNG_1241G
A0A510N6M8	phr2			cellular response to stimulus [GO:0051716]; nucleobase-containing compound metabolic process [GO:0006139]; protein-chromophore linkage [GO:0018298]; response to stress [GO:0006950]		deoxyribodipyrimidine photo-lyase activity [GO:0003904]; heterocyclic compound binding [GO:1901363]; organic cyclic compound binding [GO:0097159]						PS00394;PS00691;PS51645;		PF00875;PF03441;	IPR036134;IPR036155;IPR005101;IPR002081;IPR018394;IPR006050;IPR014729;	phr2 VNG_1335G
A0A510N6N5	sod2					metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]						PS00088;		PF02777;PF00081;	IPR001189;IPR019833;IPR019832;IPR019831;IPR036324;IPR036314;	sod2 VNG_1332G
A0A510N6N7	rnp3			tRNA 5'-leader removal [GO:0001682]	cytoplasm [GO:0005737]; ribonuclease P complex [GO:0030677]	ribonuclease P activity [GO:0004526]								PF01876;	IPR016195;IPR023539;IPR002738;	rnp3 VNG_1281H
A0A510N6P2	gatE			translation [GO:0006412]	cytoplasm [GO:0005737]	aminoacyl-tRNA ligase activity [GO:0004812]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; transferase activity [GO:0016740]						PS01234;	SM00845;	PF02938;PF02934;PF02637;	IPR017959;IPR006075;IPR018027;IPR003789;IPR004115;IPR029351;IPR042114;IPR023168;IPR004414;IPR017958;IPR014746;	gatE VNG_1352G
A0A510N6R4	panE		PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis. {ECO:0000256|ARBA:ARBA00004724, ECO:0000256|RuleBase:RU362068}.	coenzyme A biosynthetic process [GO:0015937]; pantothenate biosynthetic process [GO:0015940]		2-dehydropantoate 2-reductase activity [GO:0008677]				UPA00241;				PF02558;PF08546;	IPR008927;IPR013328;IPR003710;IPR013752;IPR013332;IPR036291;	panE apbA VNG_0730C
A0A510N6R9	htr9			chemotaxis [GO:0006935]; signal transduction [GO:0007165]	membrane [GO:0016020]	transmembrane signaling receptor activity [GO:0004888]						PS50111;PS50112;	SM00283;	PF00015;	IPR004090;IPR004089;IPR000014;	htr9 htA htpIII VNG_1395G
A0A510N6S3	gshA			cellular modified amino acid biosynthetic process [GO:0042398]		ATP binding [GO:0005524]; glutamate-cysteine ligase activity [GO:0004357]								PF04107;	IPR006336;IPR014746;IPR011793;	gshA VNG_1397C
A0A510N6T0	rad25c					ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]						PS51192;PS51194;	SM00487;SM00490;	PF16203;PF04851;	IPR032438;IPR006935;IPR014001;IPR001650;IPR030882;IPR027417;	rad25c rad25 rhl VNG_1406G
A0A510N6V1	dhs		PATHWAY: Protein modification; eIF5A hypusination. {ECO:0000256|ARBA:ARBA00005041, ECO:0000256|HAMAP-Rule:MF_00153}.	peptidyl-lysine modification to peptidyl-hypusine [GO:0008612]		deoxyhypusine synthase activity [GO:0034038]				UPA00354;				PF01916;	IPR022899;IPR002773;IPR036982;IPR029035;	dhs dys VNG_1432G
A0A510N6X5	priS				primosome complex [GO:1990077]	DNA primase activity [GO:0003896]; metal ion binding [GO:0046872]					cd04860;			PF01896;	IPR002755;IPR014052;IPR023639;	priS priA VNG_1470G
A0A510N6Z8	srp19			SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	signal recognition particle [GO:0048500]	7S RNA binding [GO:0008312]								PF01922;	IPR002778;IPR036521;IPR022938;	srp19 VNG_1367G
A0A510N6Z9	rpl37e			translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]						PS01077;		PF01907;	IPR011331;IPR001569;IPR018267;IPR011332;	rpl37e VNG_1494G
A0A510N708	hemAT			chemotaxis [GO:0006935]; signal transduction [GO:0007165]	membrane [GO:0016020]	heme binding [GO:0020037]; oxygen binding [GO:0019825]; transmembrane signaling receptor activity [GO:0004888]					cd01068;	PS50111;	SM00283;	PF00015;PF11563;	IPR004090;IPR009050;IPR044398;IPR012292;IPR004089;IPR039379;	hemAT htB htr10 VNG_1505G
A0A510N710	pelA			nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; RNA surveillance [GO:0071025]	cytoplasm [GO:0005737]	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]							SM01194;	PF03463;PF03464;PF03465;	IPR042226;IPR005140;IPR005141;IPR005142;IPR029064;IPR038069;IPR023521;IPR004405;	pelA VNG_1506G
A0A510N717	coaD		PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00647}.	coenzyme A biosynthetic process [GO:0015937]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; pantetheine-phosphate adenylyltransferase activity [GO:0004595]				UPA00241;				PF01467;	IPR004821;IPR023540;IPR014729;	coaD VNG_1390a
A0A510N754	brp			carotene catabolic process [GO:0016121]	integral component of plasma membrane [GO:0005887]	beta-carotene 15,15'-dioxygenase activity [GO:0003834]; carotenoid dioxygenase activity [GO:0010436]; iron ion binding [GO:0005506]								PF15461;	IPR022270;	brp VNG_1465G
A0A510N768	cbiP		PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis. {ECO:0000256|ARBA:ARBA00004953, ECO:0000256|HAMAP-Rule:MF_00028}.	cobalamin biosynthetic process [GO:0009236]; glutamine metabolic process [GO:0006541]		ABC-type vitamin B12 transporter activity [GO:0015420]; ligase activity [GO:0016874]				UPA00148;	cd01750;			PF01656;PF07685;	IPR029062;IPR002586;IPR033949;IPR004459;IPR011698;IPR027417;	cbiP cobQ VNG_1576G
A0A510N771	bop			phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ion channel activity [GO:0005216]; photoreceptor activity [GO:0009881]						PS00950;PS00327;	SM01021;	PF01036;	IPR001425;IPR018229;	bop VNG_1467G
A0A510N777	gcvP1			glycine decarboxylation via glycine cleavage system [GO:0019464]; nucleoside metabolic process [GO:0009116]		glycine dehydrogenase (decarboxylating) activity [GO:0004375]					cd00613;			PF02347;	IPR023010;IPR020581;IPR015424;IPR015421;IPR015422;	gcvP1 gcvPA VNG_1603G
A0A510N778	gcvT			glycine decarboxylation via glycine cleavage system [GO:0019464]		aminomethyltransferase activity [GO:0004047]; transaminase activity [GO:0008483]								PF01571;PF08669;	IPR006223;IPR022903;IPR028896;IPR013977;IPR006222;IPR029043;IPR027266;	gcvT VNG_1606G
A0A510N785	gcvH			glycine decarboxylation via glycine cleavage system [GO:0019464]	glycine cleavage complex [GO:0005960]						cd06848;	PS50968;PS00189;		PF01597;	IPR003016;IPR000089;IPR002930;IPR033753;IPR017453;IPR011053;	gcvH VNG_1605G
A0A510N794	arlB3			archaeal or bacterial-type flagellum-dependent cell motility [GO:0097588]	archaeal-type flagellum [GO:0097589]; integral component of membrane [GO:0016021]	structural molecule activity [GO:0005198]								PF01917;	IPR013373;IPR002774;	arlB3 flgB3 VNG_0962G
A0A510N798	cbiO			cobalt ion transport [GO:0006824]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]					cd03225;	PS00211;PS50893;	SM00382;	PF00005;	IPR003593;IPR003439;IPR017871;IPR015856;IPR005876;IPR027417;	cbiO VNG_1631G
A0A510N7A8	cbiN		PATHWAY: Cofactor biosynthesis; adenosylcobalamin biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00330}.	cobalamin biosynthetic process [GO:0009236]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cobalt ion transmembrane transporter activity [GO:0015087]				UPA00148;				PF02553;	IPR003705;	cbiN VNG_1634G
A0A510N7C9	radB			DNA recombination [GO:0006310]; DNA repair [GO:0006281]		ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]						PS50162;	SM00382;	PF08423;	IPR003593;IPR013632;IPR011939;IPR027417;IPR020588;	radB VNG_1665G
A0A510N7D7	rfcB			DNA replication [GO:0006260]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA clamp loader activity [GO:0003689]							SM00382;	PF00004;	IPR003593;IPR003959;IPR027417;IPR023935;	rfcB rfcL VNG_1622G
A0A510N7E2	rps8e			translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]						PS01193;		PF01201;	IPR020919;IPR001047;IPR022309;IPR018283;	rps8e VNG_1668G
A0A510N7E8	rpl3			translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00474;		PF00297;	IPR045077;IPR000597;IPR019928;IPR019926;IPR044892;IPR009000;	rpl3 VNG_1689G
A0A510N7E9	rpl23			translation [GO:0006412]	cytoplasm [GO:0005737]; ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00050;		PF00276;	IPR012677;IPR019985;IPR012678;IPR001014;IPR013025;	rpl23 VNG_1691G
A0A510N7F1	rpl4			translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00939;		PF00573;	IPR002136;IPR013000;IPR023574;IPR045240;IPR019970;	rpl4 VNG_1690G
A0A510N7F8	rps19			translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00323;		PF00203;	IPR020934;IPR002222;IPR023575;IPR005713;	rps19 rps19p VNG_1693G
A0A510N7F9	trpF		PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 3/5. {ECO:0000256|ARBA:ARBA00004664, ECO:0000256|HAMAP-Rule:MF_00135}.	tryptophan biosynthetic process [GO:0000162]		phosphoribosylanthranilate isomerase activity [GO:0004640]				UPA00035;	cd00405;			PF00697;	IPR013785;IPR001240;IPR011060;IPR044643;	trpF VNG_1648G
A0A510N7G0	rpl24			translation [GO:0006412]	cytosol [GO:0005829]; large ribosomal subunit [GO:0015934]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]					cd06089;	PS01108;	SM00739;	PF00467;PF16906;	IPR005824;IPR041988;IPR014722;IPR005825;IPR005756;IPR008991;	rpl24 VNG_1702G
A0A510N7G2	rpl14			translation [GO:0006412]	cytoplasm [GO:0005737]; ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00049;	SM01374;	PF00238;	IPR036853;IPR000218;IPR019971;IPR019972;	rpl14 VNG_1701G
A0A510N7G3	rpl2			translation [GO:0006412]	large ribosomal subunit [GO:0015934]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00467;	SM01383;SM01382;	PF00181;PF03947;	IPR012340;IPR022666;IPR014722;IPR002171;IPR023672;IPR022669;IPR022671;IPR014726;IPR008991;	rpl2 VNG_1692G
A0A510N7G4	rpl15			translation [GO:0006412]	cytoplasm [GO:0005737]; large ribosomal subunit [GO:0015934]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00475;		PF00828;	IPR036227;IPR027386;IPR030878;IPR001196;IPR021131;	rpl15 VNG_1718G
A0A510N7G7	rpl30			translation [GO:0006412]	large ribosomal subunit [GO:0015934]	structural constituent of ribosome [GO:0003735]					cd01657;			PF00327;	IPR036919;IPR005997;IPR016082;IPR035808;	rpl30 VNG_1716G
A0A510N7H1	rps14			translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]						PS00527;		PF00253;	IPR001209;IPR043140;IPR018271;IPR023676;	rps14 VNG_1706G
A0A510N7H2	rps5			translation [GO:0006412]	cytosol [GO:0005829]; small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00585;PS50881;		PF00333;PF03719;	IPR000851;IPR005324;IPR020568;IPR014721;IPR005711;IPR013810;IPR018192;	rps5 VNG_1715G
A0A510N7H3	rpl5			translation [GO:0006412]	cytoplasm [GO:0005737]; ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]								PF00281;PF00673;	IPR002132;IPR022804;IPR031309;IPR022803;IPR031310;	rpl5 VNG_1705G
A0A510N7H6	rnp1			tRNA 5'-leader removal [GO:0001682]	cytoplasm [GO:0005737]; ribonuclease P complex [GO:0030677]	ribonuclease P activity [GO:0004526]; RNA binding [GO:0003723]							SM00538;	PF01868;	IPR036980;IPR023538;IPR023534;IPR002730;	rnp1 VNG_1699C
A0A510N7I2	secY			intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]							PS00755;PS00756;		PF10559;PF00344;	IPR026593;IPR002208;IPR030659;IPR023201;IPR019561;	secY VNG_1719G
A0A510N7I3	cbf5			tRNA pseudouridine synthesis [GO:0031119]		RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]							SM01136;	PF08068;PF16198;PF01509;	IPR012960;IPR020103;IPR002501;IPR015947;IPR036974;IPR004802;IPR026326;IPR032819;	cbf5 truB VNG_1729G
A0A510N7I6	rpl19e			translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]					cd01418;	PS00526;	SM01416;	PF01280;	IPR035970;IPR000196;IPR023638;IPR015972;IPR033936;IPR015973;IPR015974;IPR039547;	rpl19e VNG_1713G
A0A510N7J7	cosT			signal transduction [GO:0007165]	integral component of membrane [GO:0016021]							PS50111;PS50885;	SM00304;SM00283;	PF00672;PF00015;	IPR003660;IPR004089;	cosT htF htpIV htr5 VNG_1760G
A0A510N7K1	rpl22			translation [GO:0006412]	large ribosomal subunit [GO:0015934]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]					cd00336;	PS00464;		PF00237;	IPR001063;IPR018260;IPR005721;IPR036394;	rpl22 VNG_1695G
A0A510N7K3	htrVII			chemotaxis [GO:0006935]; signal transduction [GO:0007165]	integral component of membrane [GO:0016021]	transmembrane signaling receptor activity [GO:0004888]						PS50111;PS50885;	SM00304;SM00283;	PF00015;	IPR004090;IPR003660;IPR004089;	htrVII htI htpV htr7 VNG_1759G
A0A510N7K9	rpl12			translational elongation [GO:0006414]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]					cd05832;				IPR038716;IPR027534;IPR022295;	rpl12 VNG_1103G
A0A510N7L1	rps8			translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00053;		PF00410;	IPR000630;IPR035987;	rps8 VNG_1707G
A0A510N7L2	htrI			chemotaxis [GO:0006935]; signal transduction [GO:0007165]	integral component of membrane [GO:0016021]	transmembrane signaling receptor activity [GO:0004888]						PS50111;PS50885;	SM00304;SM00283;	PF00672;PF00015;	IPR004090;IPR003660;IPR004089;	htrI htr1 VNG_1659G
A0A510N7L5	dnaG				exosome (RNase complex) [GO:0000178]; primosome complex [GO:1990077]	DNA primase activity [GO:0003896]; poly(A) binding [GO:0008143]					cd01029;	PS50880;	SM00493;	PF13662;	IPR020607;IPR034154;IPR006171;	dnaG VNG_1784C
A0A510N7L6	tif1A2					translation initiation factor activity [GO:0003743]					cd05793;	PS01262;PS50832;	SM00652;	PF01176;	IPR012340;IPR006196;IPR001253;IPR018104;	tif1A2 aif1a2 eif1a VNG_1756G
A0A510N7L8	cad			tetrahydrobiopterin biosynthetic process [GO:0006729]		4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]								PF01329;	IPR036428;IPR001533;	cad VNG_1773G
A0A510N7M2	pyrF		PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; UMP from orotate: step 2/2. {ECO:0000256|ARBA:ARBA00004861, ECO:0000256|HAMAP-Rule:MF_01215}.	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]		orotidine-5'-phosphate decarboxylase activity [GO:0004590]				UPA00070;		PS00156;	SM00934;	PF00215;	IPR013785;IPR018089;IPR011995;IPR001754;IPR011060;	pyrF VNG_1673G
A0A510N7M4	thrB		PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 4/5. {ECO:0000256|HAMAP-Rule:MF_00384}.	threonine biosynthetic process [GO:0009088]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; homoserine kinase activity [GO:0004413]				UPA00050;				PF08544;PF00288;	IPR013750;IPR036554;IPR006204;IPR000870;IPR020568;IPR014721;	thrB VNG_1797G
A0A510N7M9	rps4			translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]					cd00165;	PS00632;	SM01390;SM00363;	PF01479;	IPR022801;IPR005710;IPR001912;IPR022802;IPR018079;IPR002942;IPR036986;	rps4 VNG_1133G
A0A510N7P4	rps3			translation [GO:0006412]	cytoplasm [GO:0005737]; small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS50823;PS00548;	SM00322;	PF07650;PF00189;	IPR004087;IPR015946;IPR004044;IPR009019;IPR027488;IPR001351;IPR036419;IPR018280;IPR005703;	rps3 VNG_1697G
A0A510N7P9	sopII			phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ion channel activity [GO:0005216]; photoreceptor activity [GO:0009881]						PS00950;PS00327;	SM01021;	PF01036;	IPR001425;IPR018229;	sopII VNG_1764G
A0A510N7Q2	rps17			translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00056;		PF00366;	IPR012340;IPR000266;IPR028333;IPR019978;IPR019979;	rps17 VNG_1700G
A0A510N7Q4	rpl6			translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						PS00700;		PF00347;	IPR000702;IPR020040;IPR036789;IPR002359;IPR019907;	rpl6 VNG_1709G
A0A510N7R3	rpl18			translation [GO:0006412]	ribosome [GO:0005840]	5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]								PF17144;	IPR005485;	rpl18 VNG_1714G
A0A510N7S2	cmk			pyrimidine nucleotide metabolic process [GO:0006220]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; CMP kinase activity [GO:0036430]; dCMP kinase activity [GO:0036431]					cd02020;				IPR011892;IPR011994;IPR027417;	cmk VNG_1727G
A0A510N7T1	basT			chemotaxis [GO:0006935]; signal transduction [GO:0007165]	integral component of membrane [GO:0016021]	transmembrane signaling receptor activity [GO:0004888]						PS50111;PS50885;	SM00304;SM00283;	PF00672;PF00015;	IPR004090;IPR003660;IPR004089;	basT htC htr3 VNG_1856G
A0A510N7T4	tfs2			regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]		translation elongation factor activity [GO:0003746]; zinc ion binding [GO:0008270]						PS01030;PS51133;	SM00661;SM00440;	PF02150;PF01096;	IPR019761;IPR001529;IPR012164;IPR006288;IPR001222;	tfs2 rpoM2 VNG_1743C
A0A510N7U4	htrII			signal transduction [GO:0007165]	integral component of membrane [GO:0016021]							PS50111;PS50885;	SM00304;SM00283;	PF00672;PF00015;	IPR003660;IPR004089;	htrII htr2 VNG_1765G
A0A510N7V0	nadB		PATHWAY: Cofactor biosynthesis; NAD(+) biosynthesis; iminoaspartate from L-aspartate (oxidase route): step 1/1. {ECO:0000256|ARBA:ARBA00004950}.	NAD biosynthetic process [GO:0009435]		L-aspartate oxidase activity [GO:0008734]; L-aspartate:fumarate oxidoreductase activity [GO:0044318]				UPA00253;				PF00890;PF02910;	IPR003953;IPR036188;IPR037099;IPR015939;IPR005288;IPR027477;	nadB VNG_1883G
A0A510N7V3	tef5A			positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]	cytoplasm [GO:0005737]	ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; translation initiation factor activity [GO:0003743]						PS00302;	SM01376;		IPR001884;IPR012340;IPR014722;IPR019769;IPR022847;IPR020189;IPR008991;	tef5A aef5a eif5a VNG_1768G
A0A510N7W6	aroK		PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 5/7. {ECO:0000256|ARBA:ARBA00004842, ECO:0000256|HAMAP-Rule:MF_00370}.	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; shikimate kinase activity [GO:0004765]				UPA00053;				PF00288;	IPR006204;IPR020568;IPR014721;IPR010189;	aroK VNG_1245C
A0A510N7Y2	crcB1				integral component of plasma membrane [GO:0005887]	fluoride transmembrane transporter activity [GO:1903425]								PF02537;	IPR003691;	crcB1 crcB VNG_1919H
A0A510N7Y6	crcB2				integral component of plasma membrane [GO:0005887]	fluoride transmembrane transporter activity [GO:1903425]								PF02537;	IPR003691;	crcB2 crcB VNG_1921H
A0A510N7Y8	cetZ1			microtubule-based process [GO:0007017]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]						PS00227;	SM00864;	PF00091;	IPR032907;IPR045061;IPR037103;IPR036525;IPR017975;IPR003008;	cetZ1 cetZ ftsZ3 VNG_1933G
A0A510N7Z5	tmk			dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]		ATP binding [GO:0005524]; thymidylate kinase activity [GO:0004798]								PF02223;	IPR027417;IPR039430;IPR018094;	tmk VNG_1929G
